,0
1461,124117.8407371313
1462,118786.92314618165
1463,181346.566043784
1464,201528.27636663028
1465,191117.11234456344
1466,171378.53840739204
1467,185024.5065988642
1468,168714.33603524763
1469,182643.43102860512
1470,126450.00893998962
1471,181038.8702078134
1472,97970.39746982661
1473,97433.64305045905
1474,147097.48407925697
1475,118718.5404571808
1476,354352.45659432077
1477,257526.1680659786
1478,301292.02968134737
1479,281096.8126442495
1480,548775.5429591095
1481,322852.70895665576
1482,204685.21708316516
1483,174846.91751443126
1484,159423.14546429738
1485,193140.41569631718
1486,197470.72002434684
1487,341235.4669452312
1488,233701.57440951484
1489,199349.6493953178
1490,247547.86339539732
1491,196808.69426896807
1492,89475.03155368952
1493,168499.63263540118
1494,299072.0158866221
1495,284716.84997031884
1496,233930.06129097997
1497,170645.11294934727
1498,181697.16312511984
1499,155487.04359639832
1500,158452.14753988184
1501,176541.5911437321
1502,153064.30109068402
1503,290651.7463388957
1504,240098.0506183625
1505,231191.29731710773
1506,184947.13742136135
1507,241096.260831501
1508,195489.25331492192
1509,152610.3506652861
1510,150017.81075363257
1511,167261.46049551034
1512,178508.03001246473
1513,133774.5401739717
1514,160577.0508667472
1515,186692.49624872347
1516,146005.3275710653
1517,152573.8830864843
1518,131541.42064492524
1519,212410.45661767668
1520,132397.61181764226
1521,133591.78628473682
1522,179269.60990086765
1523,112738.63609603749
1524,124132.97862663868
1525,120625.17855776321
1526,112160.9483825134
1527,105764.43688321993
1528,133706.3355911468
1529,154553.93051424125
1530,208250.4255469534
1531,120142.2928793388
1532,93951.4795282262
1533,157410.19675974635
1534,118127.83706241299
1535,136252.11087460272
1536,107465.53820363907
1537,64823.5622880638
1538,153709.96483966341
1539,196744.45732032508
1540,101247.32939222208
1541,146511.27900975532
1542,137641.73474385418
1543,176545.16312296788
1544,81637.12911582166
1545,117026.79756860125
1546,147221.79106113059
1547,137969.40700048074
1548,133623.40945109044
1549,130152.67163169482
1550,132616.15116504236
1551,103644.45468274274
1552,140522.91474192418
1553,146980.46379632968
1554,123477.02292330096
1555,165249.4041569054
1556,91009.25976118665
1557,110592.442917638
1558,114834.87722057481
1559,64814.86756609493
1560,125221.68915016772
1561,120458.76767512501
1562,136908.27262714264
1563,121752.06351733522
1564,163837.83989295072
1565,145705.6937752263
1566,237646.53018632717
1567,80596.0253278193
1568,258603.94109486855
1569,142973.82690036116
1570,135559.69538974864
1571,123528.6229295126
1572,144691.75775396277
1573,237342.19821655657
1574,118108.58415410026
1575,229014.52327320506
1576,233228.68160087464
1577,179808.18423174715
1578,147246.14883000404
1579,144148.13079583205
1580,187681.74586849983
1581,157608.86665185218
1582,130904.21073275474
1583,310578.81558567093
1584,219629.39344859993
1585,142664.88452195612
1586,81746.96958541668
1587,109567.90155065355
1588,143648.62604744648
1589,99349.9362286711
1590,135306.84374559554
1591,98505.78231334017
1592,112274.59360552237
1593,122712.32260928709
1594,116018.46207646621
1595,110994.38965660945
1596,220664.2712414914
1597,194902.82527729846
1598,214061.64358403906
1599,161265.66764202123
1600,157940.93518289857
1601,68921.92071997111
1602,120248.47001097453
1603,66565.06322143057
1604,263752.8159238323
1605,229915.70322361545
1606,171883.32672963475
1607,171871.53349775556
1608,215848.9969173576
1609,181848.57256855746
1610,157934.0558793327
1611,136575.00106847973
1612,174022.9703502116
1613,168756.4500337418
1614,119710.70303877254
1615,87903.10327058847
1616,80008.44333581525
1617,90971.34520852241
1618,135354.2852963883
1619,143915.96988780907
1620,161988.51409156978
1621,131855.5294814671
1622,152089.76970755612
1623,255849.6055795765
1624,212538.21116500854
1625,120456.90286540541
1626,179418.5863295995
1627,195232.3075519949
1628,260522.8359062958
1629,176298.96715799422
1630,358246.0900885324
1631,230077.71335413744
1632,237440.62639193988
1633,174262.6913386156
1634,185431.99783059538
1635,177628.48238586762
1636,157076.89223550603
1637,199616.4300056425
1638,180800.15469892562
1639,180245.57311939495
1640,230163.8847308003
1641,176961.28694642588
1642,246651.50776192028
1643,222922.86594744681
1644,224256.58174748984
1645,239920.52393573162
1646,163986.50930400318
1647,155667.98747808812
1648,129566.44205112818
1649,142991.43907692225
1650,121554.1654270386
1651,121214.48001872905
1652,100693.13319431394
1653,103524.01377061766
1654,143553.5138135259
1655,139989.02102371654
1656,142175.8428105646
1657,149030.24171680544
1658,151066.5004977085
1659,125208.05299094295
1660,155482.15836185947
1661,498523.8236961111
1662,378226.4321503739
1663,384906.2525145895
1664,659425.288959636
1665,310939.0687104532
1666,324603.11238103703
1667,375094.69528714905
1668,335174.7111122324
1669,298643.03087782493
1670,348267.41316990624
1671,280432.01230862003
1672,444904.42837222497
1673,302803.6210571214
1674,252698.0793577583
1675,200776.41963283243
1676,202505.09877793278
1677,219190.03689878286
1678,510259.00406729575
1679,386317.5338399214
1680,311483.063826863
1681,243740.52588565697
1682,313084.1608239695
1683,193233.14186182903
1684,182650.4955738834
1685,182608.3922563438
1686,164710.59997798846
1687,176764.15640237843
1688,195450.142303069
1689,198135.26654818974
1690,203114.6700538387
1691,193015.36935069054
1692,254985.80801892283
1693,171640.4124857956
1694,184378.25837081976
1695,172029.5744187765
1696,286005.98023455933
1697,176426.468458072
1698,347869.64832945814
1699,337483.4667720327
1700,258317.530766617
1701,255357.80043489492
1702,244163.11756788642
1703,247935.76908951622
1704,281105.60551994963
1705,235169.626310897
1706,206044.00587720936
1707,210110.95034309078
1708,207495.64649418392
1709,271619.509625597
1710,222630.8173769993
1711,278057.4790707346
1712,254066.9435296449
1713,277757.56184132374
1714,213388.48422074993
1715,207246.94934506877
1716,182252.90641556412
1717,176729.0820359788
1718,136762.4421310244
1719,198549.3213635243
1720,219134.3633091597
1721,157608.0669554763
1722,120543.2960406959
1723,153271.3001894026
1724,204489.63411285862
1725,230704.30985103114
1726,182575.81062703804
1727,158574.81364266697
1728,167716.92865421387
1729,168254.28215062222
1730,151029.67701665146
1731,121421.8976670539
1732,130491.71496661215
1733,114126.27441101534
1734,118113.56575515991
1735,121071.73073875396
1736,111411.30211158648
1737,330263.1628697095
1738,248859.2248877081
1739,227255.41833110186
